dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
xsum,opt-6.7b,beam search multinomial sampling,0.416650649,0.188070471,0.340481627,0.339643774,0.909984754,0.915789591,0.904477717,0.413512315,0.196238995,0.344030778,0.344049036,0.906018854,0.914935268,0.897574356,26566.45426
xsum,opt-6.7b,grouped beam search,0.425467174,0.194297807,0.339541463,0.339496335,0.909649357,0.913633745,0.905963871,0.426859529,0.209542422,0.355475391,0.355438227,0.90776421,0.915251234,0.900722523,19912.02255
xsum,opt-6.7b,beam search,0.424620541,0.187467185,0.338315737,0.337978953,0.909270679,0.912985037,0.905806321,0.424142443,0.204077714,0.35013334,0.350148193,0.907045581,0.913873849,0.900631328,12692.86021
xsum,opt-6.7b,beam search top-k sampling,0.399627771,0.169240308,0.328457031,0.328078406,0.905341947,0.910837674,0.900163438,0.421234865,0.202375674,0.349771874,0.349809298,0.9071242,0.915798716,0.898926193,26808.58934
xsum,opt-6.7b,greedy decoding,0.39957645,0.168359181,0.321630896,0.321297511,0.904882213,0.907280906,0.902727842,0.419894908,0.198323144,0.344877061,0.344826796,0.905628853,0.910959828,0.900670015,7045.190666
xsum,opt-6.7b,contrastive search,0.406619027,0.170550757,0.331336406,0.331336785,0.904632362,0.906654573,0.902870829,0.412445522,0.190970744,0.338978408,0.338983348,0.903439359,0.90817859,0.89905936,40365.53132
xsum,opt-6.7b,top-p nucleus top-k sampling,0.374120346,0.143564928,0.294884307,0.293631537,0.90222897,0.904623312,0.900097687,0.399504444,0.177466089,0.323687393,0.323690081,0.902162238,0.906432375,0.898228974,7564.561765
xsum,opt-6.7b,multinomial sampling,0.359393837,0.142343557,0.285995748,0.28368453,0.900274332,0.901528644,0.899243465,0.381862765,0.161192983,0.306399998,0.306373262,0.898509171,0.901609921,0.895733409,7410.043398
xsum,opt-6.7b,truncation multinomial sampling,0.37758609,0.155907926,0.301434243,0.300032424,0.900023394,0.900141308,0.900241163,0.377297497,0.156313378,0.302911904,0.302853007,0.897606186,0.90047841,0.895067213,7914.857361
xsum,opt-6.7b,top-k sampling,0.369163996,0.146777126,0.298003546,0.296389269,0.896581479,0.896434115,0.897011486,0.373958508,0.151492551,0.299180687,0.299217327,0.896432052,0.898931256,0.894248734,7824.376697
xsum,opt-6.7b,top-p nucleus multinomial sampling,0.340204447,0.123361812,0.268605652,0.267552182,0.895041244,0.895712523,0.894633567,0.360897471,0.140442091,0.286748636,0.286715029,0.893728612,0.895622501,0.89213983,8267.45243
xsum,opt-13b,beam search top-k sampling,0.421842343,0.192305896,0.34503613,0.347192866,0.912239179,0.919834695,0.905012599,0.405391838,0.190586029,0.337103031,0.33712808,0.904429378,0.913574859,0.89580448,32583.1255
xsum,opt-13b,beam search,0.410119137,0.191564653,0.338491095,0.341688543,0.910071496,0.918300509,0.902257326,0.408228243,0.193001749,0.337960316,0.337979028,0.904636057,0.913467672,0.89631413,33303.62624
xsum,opt-13b,beam search multinomial sampling,0.413416617,0.186840484,0.341334876,0.342839377,0.90985688,0.916820786,0.903277929,0.401225599,0.185368916,0.330792678,0.330834684,0.901895806,0.908514221,0.895829054,24076.97078
xsum,opt-13b,contrastive search,0.416025545,0.181135289,0.33654211,0.33829374,0.90956133,0.9142372,0.905178161,0.40322451,0.182711847,0.330208901,0.330160145,0.901925603,0.907645567,0.896632859,19889.95912
xsum,opt-13b,grouped beam search,0.418240764,0.185313621,0.340400334,0.342240432,0.909498102,0.914101842,0.905252134,0.40466593,0.1858568,0.332428038,0.332368249,0.902882259,0.908754209,0.897438153,29279.40938
xsum,opt-13b,greedy decoding,0.415014512,0.184833623,0.338039884,0.339363923,0.909263818,0.913953211,0.904884882,0.403431755,0.182401576,0.329933194,0.329928874,0.901912403,0.907523261,0.89672861,10871.15365
xsum,opt-13b,truncation multinomial sampling,0.376523151,0.145442188,0.298259737,0.300161175,0.902624088,0.904036817,0.901460611,0.374898238,0.155493135,0.3009821,0.301078322,0.897236327,0.901185903,0.893654503,11014.72632
xsum,opt-13b,top-p nucleus top-k sampling,0.371307895,0.142998625,0.30292067,0.303826715,0.901282001,0.903856206,0.898964874,0.381256459,0.160723941,0.307573287,0.307608179,0.897546817,0.901719069,0.893766684,11515.9818
xsum,opt-13b,top-p nucleus multinomial sampling,0.363431815,0.137934199,0.291081499,0.293140603,0.897452417,0.898821566,0.896363157,0.365829327,0.147108727,0.292513941,0.292680169,0.895123304,0.898449714,0.892158106,11703.49293
